source,type,year,var_short,value,iso3,var_long,residence,san_service_chain
MICS,Survey,2003,s_imp_u,44.2,AFG,Improved,urban,user interface
NRVS,Survey with microdata,2005,s_imp_u,62.277633324992,AFG,Improved,urban,user interface
NVRA,Survey with microdata,2008,s_imp_u,58.3,AFG,Improved,urban,user interface
MICS,Survey with microdata,2011,s_imp_u,70.9,AFG,Improved,urban,user interface
NVRA,Survey with microdata,2012,s_imp_u,62,AFG,Improved,urban,user interface
ALCS,Survey with microdata,2014,s_imp_u,76.6,AFG,Improved,urban,user interface
DHS,Survey with microdata,2015,s_imp_u,83.60000000000001,AFG,Improved,urban,user interface
ALCS,Survey with microdata,2017,s_imp_u,83.26,AFG,Improved,urban,user interface
IELFS,Survey with microdata,2020,s_imp_u,83.48371999999999,AFG,Improved,urban,user interface
MICS,Survey,2003,s_sew_u,8.2,AFG,Sewer,urban,user interface
MICS,Survey with microdata,2011,s_sew_u,4.5,AFG,Sewer,urban,user interface
ALCS,Survey with microdata,2014,s_sew_u,13.4,AFG,Sewer,urban,user interface
DHS,Survey with microdata,2015,s_sew_u,9.9,AFG,Sewer,urban,user interface
ALCS,Survey with microdata,2017,s_sew_u,4.53,AFG,Sewer,urban,user interface
IELFS,Survey with microdata,2020,s_sew_u,9.97665,AFG,Sewer,urban,user interface
MICS,Survey with microdata,2011,s_sep_u,22.8,AFG,Septic,urban,user interface
ALCS,Survey with microdata,2014,s_sep_u,21.7,AFG,Septic,urban,user interface
DHS,Survey with microdata,2015,s_sep_u,34.9,AFG,Septic,urban,user interface
ALCS,Survey with microdata,2017,s_sep_u,33.71,AFG,Septic,urban,user interface
IELFS,Survey with microdata,2020,s_sep_u,22.59006,AFG,Septic,urban,user interface
MICS,Survey,2003,s_lat_u,36,AFG,Latrines and other improved,urban,user interface
MS,Survey with microdata,2010,s_lat_u,53.9,AFG,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2011,s_lat_u,43.60000000000001,AFG,Latrines and other improved,urban,user interface
ALCS,Survey with microdata,2014,s_lat_u,41.49999999999999,AFG,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2015,s_lat_u,38.80000000000001,AFG,Latrines and other improved,urban,user interface
ALCS,Survey with microdata,2017,s_lat_u,45.02,AFG,Latrines and other improved,urban,user interface
IELFS,Survey with microdata,2020,s_lat_u,50.91700999999999,AFG,Latrines and other improved,urban,user interface
MICS,Survey,2003,s_od_u,12.8,AFG,Open defecation,urban,open defecation
NRVS,Survey with microdata,2005,s_od_u,0.1832139882376,AFG,Open defecation,urban,open defecation
NVRA,Survey with microdata,2008,s_od_u,0.5,AFG,Open defecation,urban,open defecation
MICS,Survey with microdata,2011,s_od_u,0.6,AFG,Open defecation,urban,open defecation
ALCS,Survey with microdata,2014,s_od_u,0.7,AFG,Open defecation,urban,open defecation
DHS,Survey with microdata,2015,s_od_u,1.4,AFG,Open defecation,urban,open defecation
ALCS,Survey with microdata,2017,s_od_u,0.53,AFG,Open defecation,urban,open defecation
IELFS,Survey with microdata,2020,s_od_u,0.24861,AFG,Open defecation,urban,open defecation
NVRA,Survey with microdata,2008,s_shared_u,35.699999999999996,AFG,Shared,urban,sharing
MICS,Survey with microdata,2011,s_shared_u,15.371000000000002,AFG,Shared,urban,sharing
NVRA,Survey with microdata,2012,s_shared_u,37.5,AFG,Shared,urban,sharing
ALCS,Survey with microdata,2014,s_shared_u,33.6,AFG,Shared,urban,sharing
DHS,Survey with microdata,2015,s_shared_u,13.636363636363631,AFG,Shared,urban,sharing
ALCS,Survey with microdata,2017,s_shared_u,32,AFG,Shared,urban,sharing
MICS,Survey,2003,s_imp_r,26,AFG,Improved,rural,user interface
NRVA,Survey with microdata,2003,s_imp_r,28.558654833928102,AFG,Improved,rural,user interface
NRVS,Survey with microdata,2005,s_imp_r,31.1753431216186,AFG,Improved,rural,user interface
NVRA,Survey with microdata,2008,s_imp_r,30.1,AFG,Improved,rural,user interface
MICS,Survey with microdata,2011,s_imp_r,44.2,AFG,Improved,rural,user interface
NVRA,Survey with microdata,2012,s_imp_r,36.349999999999994,AFG,Improved,rural,user interface
ALCS,Survey with microdata,2014,s_imp_r,26.999999999999996,AFG,Improved,rural,user interface
DHS,Survey with microdata,2015,s_imp_r,48.05,AFG,Improved,rural,user interface
ALCS,Survey with microdata,2017,s_imp_r,43.79,AFG,Improved,rural,user interface
IELFS,Survey with microdata,2020,s_imp_r,61.93845999999999,AFG,Improved,rural,user interface
MICS,Survey,2003,s_sew_r,0.4,AFG,Sewer,rural,user interface
MICS,Survey with microdata,2011,s_sew_r,2.2,AFG,Sewer,rural,user interface
ALCS,Survey with microdata,2014,s_sew_r,0.4,AFG,Sewer,rural,user interface
DHS,Survey with microdata,2015,s_sew_r,0.3,AFG,Sewer,rural,user interface
ALCS,Survey with microdata,2017,s_sew_r,0.58,AFG,Sewer,rural,user interface
IELFS,Survey with microdata,2020,s_sew_r,1.69396,AFG,Sewer,rural,user interface
MICS,Survey with microdata,2011,s_sep_r,1,AFG,Septic,rural,user interface
ALCS,Survey with microdata,2014,s_sep_r,1,AFG,Septic,rural,user interface
DHS,Survey with microdata,2015,s_sep_r,3,AFG,Septic,rural,user interface
ALCS,Survey with microdata,2017,s_sep_r,1.02,AFG,Septic,rural,user interface
IELFS,Survey with microdata,2020,s_sep_r,1.86152,AFG,Septic,rural,user interface
MICS,Survey,2003,s_lat_r,25.6,AFG,Latrines and other improved,rural,user interface
MS,Survey with microdata,2010,s_lat_r,28.1,AFG,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2011,s_lat_r,41,AFG,Latrines and other improved,rural,user interface
ALCS,Survey with microdata,2014,s_lat_r,25.6,AFG,Latrines and other improved,rural,user interface
DHS,Survey with microdata,2015,s_lat_r,44.75,AFG,Latrines and other improved,rural,user interface
ALCS,Survey with microdata,2017,s_lat_r,42.19,AFG,Latrines and other improved,rural,user interface
IELFS,Survey with microdata,2020,s_lat_r,58.38297999999999,AFG,Latrines and other improved,rural,user interface
MICS,Survey,2003,s_od_r,39.2,AFG,Open defecation,rural,open defecation
NRVA,Survey with microdata,2003,s_od_r,30.620056136769584,AFG,Open defecation,rural,open defecation
NRVS,Survey with microdata,2005,s_od_r,14.71720862785,AFG,Open defecation,rural,open defecation
NVRA,Survey with microdata,2008,s_od_r,25.6,AFG,Open defecation,rural,open defecation
MICS,Survey with microdata,2011,s_od_r,21.3,AFG,Open defecation,rural,open defecation
ALCS,Survey with microdata,2014,s_od_r,24.8,AFG,Open defecation,rural,open defecation
DHS,Survey with microdata,2015,s_od_r,16.1,AFG,Open defecation,rural,open defecation
ALCS,Survey with microdata,2017,s_od_r,17.73,AFG,Open defecation,rural,open defecation
IELFS,Survey with microdata,2020,s_od_r,14.92387,AFG,Open defecation,rural,open defecation
NVRA,Survey with microdata,2008,s_shared_r,16.7,AFG,Shared,rural,sharing
MICS,Survey with microdata,2011,s_shared_r,6.349,AFG,Shared,rural,sharing
NVRA,Survey with microdata,2012,s_shared_r,17,AFG,Shared,rural,sharing
ALCS,Survey with microdata,2014,s_shared_r,19.5,AFG,Shared,rural,sharing
DHS,Survey with microdata,2015,s_shared_r,8.388941849380362,AFG,Shared,rural,sharing
ALCS,Survey with microdata,2017,s_shared_r,15.7,AFG,Shared,rural,sharing
ES,Admin,2014,s_treat_wtp_n,47.368421052631575,ALB,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2015,s_treat_wtp_n,42.10526315789473,ALB,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2016,s_treat_wtp_n,43.75,ALB,Treated at wastewater treatment plant,national,WW treatment
ES,Admin,2017,s_treat_wtp_n,42.06303724928367,ALB,Treated at wastewater treatment plant,national,WW treatment
MICS,Survey with microdata,2000,s_imp_u,98.5,ALB,Improved,urban,user interface
CEN,Census,2001,s_imp_u,98.36009360373455,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2002,s_imp_u,99.28258965377806,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2003,s_imp_u,99.26659183673468,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2005,s_imp_u,99.28906982947196,ALB,Improved,urban,user interface
MICS,Survey with microdata,2006,s_imp_u,99.4,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2008,s_imp_u,99.58581273200888,ALB,Improved,urban,user interface
DHS,Survey with microdata,2009,s_imp_u,99.2,ALB,Improved,urban,user interface
CEN,Census,2011,s_imp_u,99.7,ALB,Improved,urban,user interface
LSMS,Survey with microdata,2012,s_imp_u,99.97894787958396,ALB,Improved,urban,user interface
DHS,Survey with microdata,2018,s_imp_u,98.96908,ALB,Improved,urban,user interface
MICS,Survey with microdata,2000,s_sew_u,94.8,ALB,Sewer,urban,user interface
CEN,Census,2001,s_sew_u,92.389385870959,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2002,s_sew_u,96.35401822520664,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2003,s_sew_u,96.497,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2005,s_sew_u,97.05573649613864,ALB,Sewer,urban,user interface
MICS,Survey with microdata,2006,s_sew_u,97.2,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2008,s_sew_u,98.54359050978664,ALB,Sewer,urban,user interface
CEN,Census,2011,s_sew_u,98,ALB,Sewer,urban,user interface
LSMS,Survey with microdata,2012,s_sew_u,98.21228121291728,ALB,Sewer,urban,user interface
DHS,Survey with microdata,2018,s_sew_u,91.08973,ALB,Sewer,urban,user interface
MICS,Survey with microdata,2006,s_sep_u,1.6,ALB,Septic,urban,user interface
DHS,Survey with microdata,2009,s_sep_u,4.4,ALB,Septic,urban,user interface
DHS,Survey with microdata,2018,s_sep_u,1.44394,ALB,Septic,urban,user interface
MICS,Survey with microdata,2000,s_lat_u,3.700000000000003,ALB,Latrines and other improved,urban,user interface
CEN,Census,2001,s_lat_u,5.9707077327755655,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2002,s_lat_u,2.9285714285714306,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2003,s_lat_u,2.7695918367346906,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2005,s_lat_u,2.2333333333333343,ALB,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2006,s_lat_u,0.5999999999999943,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2008,s_lat_u,1.0422222222222215,ALB,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2009,s_lat_u,5.299999999999997,ALB,Latrines and other improved,urban,user interface
CEN,Census,2011,s_lat_u,1.7000000000000028,ALB,Latrines and other improved,urban,user interface
LSMS,Survey with microdata,2012,s_lat_u,1.7666666666666655,ALB,Latrines and other improved,urban,user interface
DHS,Survey with microdata,2018,s_lat_u,6.43540999999999,ALB,Latrines and other improved,urban,user interface
CEN,Census,2001,s_od_u,0.474890253284859,ALB,Open defecation,urban,open defecation
DHS,Survey with microdata,2009,s_od_u,0,ALB,Open defecation,urban,open defecation
CEN,Census,2011,s_od_u,0.299,ALB,Open defecation,urban,open defecation
DHS,Survey with microdata,2018,s_od_u,0.01918,ALB,Open defecation,urban,open defecation
MICS,Survey with microdata,2006,s_shared_u,1.710261569416499,ALB,Shared,urban,sharing
DHS,Survey with microdata,2009,s_shared_u,1.7137096774193616,ALB,Shared,urban,sharing
DHS,Survey with microdata,2018,s_shared_u,0.63475,ALB,Shared,urban,sharing
MICS,Survey with microdata,2000,s_imp_r,78,ALB,Improved,rural,user interface
CEN,Census,2001,s_imp_r,87.06954997339106,ALB,Improved,rural,user interface
LSMS,Survey with microdata,2002,s_imp_r,89.31023276556954,ALB,Improved,rural,user interface
LSMS,Survey with microdata,2003,s_imp_r,89.95789710610933,ALB,Improved,rural,user interface
LSMS,Survey with microdata,2005,s_imp_r,87.72989159261638,ALB,Improved,rural,user interface
MICS,Survey with microdata,2006,s_imp_r,98.5,ALB,Improved,rural,user interface
LSMS,Survey with microdata,2008,s_imp_r,91.12708373186152,ALB,Improved,rural,user interface
DHS,Survey with microdata,2009,s_imp_r,90.3,ALB,Improved,rural,user interface
CEN,Census,2011,s_imp_r,98.9,ALB,Improved,rural,user interface
LSMS,Survey with microdata,2012,s_imp_r,96.10965194741672,ALB,Improved,rural,user interface
DHS,Survey with microdata,2018,s_imp_r,95.3246,ALB,Improved,rural,user interface
MICS,Survey with microdata,2000,s_sew_r,36.6,ALB,Sewer,rural,user interface
MICS,Survey with microdata,2006,s_sew_r,61.2,ALB,Sewer,rural,user interface
DHS,Survey with microdata,2018,s_sew_r,47.8261,ALB,Sewer,rural,user interface
MICS,Survey with microdata,2006,s_sep_r,21.3,ALB,Septic,rural,user interface
DHS,Survey with microdata,2009,s_sep_r,24,ALB,Septic,rural,user interface
DHS,Survey with microdata,2018,s_sep_r,9.74408,ALB,Septic,rural,user interface
MICS,Survey with microdata,2000,s_lat_r,41.4,ALB,Latrines and other improved,rural,user interface
CEN,Census,2001,s_lat_r,39.1755052142559,ALB,Latrines and other improved,rural,user interface
LSMS,Survey with microdata,2002,s_lat_r,35.03938906752412,ALB,Latrines and other improved,rural,user interface
LSMS,Survey with microdata,2003,s_lat_r,33.02789710610932,ALB,Latrines and other improved,rural,user interface
LSMS,Survey with microdata,2005,s_lat_r,23.954500998003994,ALB,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2006,s_lat_r,16,ALB,Latrines and other improved,rural,user interface
LSMS,Survey with microdata,2008,s_lat_r,17.20489021956088,ALB,Latrines and other improved,rural,user interface
DHS,Survey with microdata,2009,s_lat_r,39.5,ALB,Latrines and other improved,rural,user interface
CEN,Census,2011,s_lat_r,12.599999999999994,ALB,Latrines and other improved,rural,user interface
LSMS,Survey with microdata,2012,s_lat_r,10.915000000000006,ALB,Latrines and other improved,rural,user interface
DHS,Survey with microdata,2018,s_lat_r,37.75442000000001,ALB,Latrines and other improved,rural,user interface
CEN,Census,2001,s_od_r,1.23504867872045,ALB,Open defecation,rural,open defecation
DHS,Survey with microdata,2009,s_od_r,0,ALB,Open defecation,rural,open defecation
CEN,Census,2011,s_od_r,1.12,ALB,Open defecation,rural,open defecation
DHS,Survey with microdata,2018,s_od_r,0.00864,ALB,Open defecation,rural,open defecation
MICS,Survey with microdata,2006,s_shared_r,1.015228426395939,ALB,Shared,rural,sharing
DHS,Survey with microdata,2009,s_shared_r,2.657807308970095,ALB,Shared,rural,sharing
DHS,Survey with microdata,2018,s_shared_r,0.6077199999999999,ALB,Shared,rural,sharing
MICS,Survey,2000,s_imp_u,99.09999999999998,DZA,Improved,urban,user interface
PAPFAM,Survey,2002,s_imp_u,98.4,DZA,Improved,urban,user interface
MICS,Survey,2006,s_imp_u,97.6,DZA,Improved,urban,user interface
MICS,Survey with microdata,2013,s_imp_u,97.4,DZA,Improved,urban,user interface
MICS,Survey with microdata,2019,s_imp_u,99.18646,DZA,Improved,urban,user interface
MICS,Survey,2000,s_sew_u,85.6,DZA,Sewer,urban,user interface
MICS,Survey,2006,s_sew_u,91.9,DZA,Sewer,urban,user interface
CEN,Census,2008,s_sew_u,91.4,DZA,Sewer,urban,user interface
MICS,Survey with microdata,2013,s_sew_u,90.6,DZA,Sewer,urban,user interface
MICS,Survey with microdata,2019,s_sew_u,97.35127,DZA,Sewer,urban,user interface
MICS,Survey,2000,s_sep_u,9.1,DZA,Septic,urban,user interface
MICS,Survey,2006,s_sep_u,5.3,DZA,Septic,urban,user interface
MICS,Survey with microdata,2013,s_sep_u,3.8,DZA,Septic,urban,user interface
MICS,Survey with microdata,2019,s_sep_u,1.59666,DZA,Septic,urban,user interface
MICS,Survey,2000,s_lat_u,4.3999999999999915,DZA,Latrines and other improved,urban,user interface
MICS,Survey,2006,s_lat_u,0.4000000000000057,DZA,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2013,s_lat_u,3,DZA,Latrines and other improved,urban,user interface
MICS,Survey with microdata,2019,s_lat_u,0.23852999999999724,DZA,Latrines and other improved,urban,user interface
MICS,Survey,2000,s_od_u,0,DZA,Open defecation,urban,open defecation
PAPFAM,Survey,2002,s_od_u,1.5,DZA,Open defecation,urban,open defecation
MICS,Survey,2006,s_od_u,0.6,DZA,Open defecation,urban,open defecation
MICS,Survey with microdata,2013,s_od_u,0.1,DZA,Open defecation,urban,open defecation
MICS,Survey with microdata,2019,s_od_u,0.01042,DZA,Open defecation,urban,open defecation
MICS,Survey with microdata,2019,s_sep_nemp_u,63.8151,DZA,Septic: not emptied,national,emptying
MICS,Survey with microdata,2019,s_sep_ebo_u,14.58854,DZA,Septic: emptied and buried onsite,urban,emptying
MICS,Survey with microdata,2019,s_sep_edl_u,11.7306,DZA,Septic: emptied and discharged locally,urban,emptying
MICS,Survey with microdata,2019,s_sep_ero_u,9.86576,DZA,Septic: emptied and removed offsite,urban,emptying
MICS,Survey with microdata,2019,s_lat_nemp_u,68.45363,DZA,Latrines: not emptied,national,emptying
MICS,Survey with microdata,2019,s_lat_ebo_u,1.53737,DZA,Latrines: emptied and buried onsite,urban,emptying
MICS,Survey with microdata,2019,s_lat_edl_u,5.24877,DZA,Latrines: emptied and discharged locally,urban,emptying
MICS,Survey with microdata,2019,s_lat_ero_u,24.76023,DZA,Latrines: emptied and removed offsite,urban,emptying
MDG+,Other,2012,s_treat_wtp_u,17.527191217300494,DZA,Treated at wastewater treatment plant,urban,WW treatment
MDG+,Other,2013,s_treat_wtp_u,17.527191217300494,DZA,Treated at wastewater treatment plant,urban,WW treatment
MICS,Survey with microdata,2013,s_shared_u,7.494866529774128,DZA,Shared,urban,sharing
MICS,Survey with microdata,2019,s_shared_u,9.82225,DZA,Shared,urban,sharing
MICS,Survey,2000,s_imp_r,81.1,DZA,Improved,rural,user interface
PAPFAM,Survey,2002,s_imp_r,85.1,DZA,Improved,rural,user interface
MICS,Survey,2006,s_imp_r,86.5,DZA,Improved,rural,user interface
MICS,Survey with microdata,2013,s_imp_r,91.8,DZA,Improved,rural,user interface
MICS,Survey with microdata,2019,s_imp_r,88.33077,DZA,Improved,rural,user interface
MICS,Survey,2000,s_sew_r,43.2,DZA,Sewer,rural,user interface
MICS,Survey,2006,s_sew_r,49.8,DZA,Sewer,rural,user interface
CEN,Census,2008,s_sew_r,49.6,DZA,Sewer,rural,user interface
MICS,Survey with microdata,2013,s_sew_r,58.2,DZA,Sewer,rural,user interface
MICS,Survey with microdata,2019,s_sew_r,61.88056,DZA,Sewer,rural,user interface
MICS,Survey,2000,s_sep_r,27.4,DZA,Septic,rural,user interface
MICS,Survey,2006,s_sep_r,32.3,DZA,Septic,rural,user interface
MICS,Survey with microdata,2013,s_sep_r,21.7,DZA,Septic,rural,user interface
MICS,Survey with microdata,2019,s_sep_r,17.92059,DZA,Septic,rural,user interface
MICS,Survey,2000,s_lat_r,10.5,DZA,Latrines and other improved,rural,user interface
MICS,Survey,2006,s_lat_r,4.400000000000006,DZA,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2013,s_lat_r,11.900000000000006,DZA,Latrines and other improved,rural,user interface
MICS,Survey with microdata,2019,s_lat_r,8.529619999999994,DZA,Latrines and other improved,rural,user interface
MICS,Survey,2000,s_od_r,13,DZA,Open defecation,rural,open defecation
PAPFAM,Survey,2002,s_od_r,14.9,DZA,Open defecation,rural,open defecation
MICS,Survey,2006,s_od_r,10.4,DZA,Open defecation,rural,open defecation
MICS,Survey with microdata,2013,s_od_r,3.4,DZA,Open defecation,rural,open defecation
MICS,Survey with microdata,2019,s_od_r,1.42411,DZA,Open defecation,rural,open defecation
MICS,Survey with microdata,2019,s_sep_nemp_r,71.29385,DZA,Septic: not emptied,national,emptying
MICS,Survey with microdata,2019,s_sep_ebo_r,10.3258,DZA,Septic: emptied and buried onsite,rural,emptying
MICS,Survey with microdata,2019,s_sep_edl_r,7.11522,DZA,Septic: emptied and discharged locally,rural,emptying
MICS,Survey with microdata,2019,s_sep_ero_r,11.26513,DZA,Septic: emptied and removed offsite,rural,emptying
MICS,Survey with microdata,2019,s_lat_nemp_r,67.31547,DZA,Latrines: not emptied,national,emptying
MICS,Survey with microdata,2019,s_lat_ebo_r,4.9363,DZA,Latrines: emptied and buried onsite,rural,emptying
MICS,Survey with microdata,2019,s_lat_edl_r,7.7953,DZA,Latrines: emptied and discharged locally,rural,emptying
MICS,Survey with microdata,2019,s_lat_ero_r,19.95293,DZA,Latrines: emptied and removed offsite,rural,emptying
MICS,Survey with microdata,2013,s_shared_r,12.008733624454148,DZA,Shared,rural,sharing
MICS,Survey with microdata,2019,s_shared_r,12.81312,DZA,Shared,rural,sharing
CEN,Census,2000,s_imp_n,99.2842105263158,ASM,Improved,national,user interface
CEN,Census,2010,s_imp_n,98.729,ASM,Improved,national,user interface
HIES,Survey,2015,s_imp_n,99.28403117636395,ASM,Improved,national,user interface
CEN,Census,2000,s_sew_n,31.5,ASM,Sewer,national,user interface
CEN,Census,2010,s_sew_n,45.8,ASM,Sewer,national,user interface
CEN,Census,2000,s_sep_n,43.1,ASM,Septic,national,user interface
CEN,Census,2010,s_sep_n,39.7,ASM,Septic,national,user interface
CEN,Census,2000,s_lat_n,24.684210526315795,ASM,Latrines and other improved,national,user interface
CEN,Census,2010,s_lat_n,13.229,ASM,Latrines and other improved,national,user interface
CEN,Census,2010,s_od_n,0.722,ASM,Open defecation,national,open defecation
HIES,Survey,2015,s_od_n,0.7069059271343121,ASM,Open defecation,national,open defecation
IBNET,Survey,2013,s_treat_wtp_n,78.3,ASM,Treated at wastewater treatment plant,national,WW treatment
IBNET,Other,2014,s_treat_wtp_n,78.1,ASM,Treated at wastewater treatment plant,national,WW treatment
IBNET,Survey,2015,s_treat_wtp_n,99.7,ASM,Treated at wastewater treatment plant,national,WW treatment
CEN,Census,2010,s_shared_n,36.89493461900759,ASM,Shared,national,sharing
HIES,Survey,2015,s_shared_n,42.69283432222729,ASM,Shared,national,sharing
GAS,Admin,2000,s_treat_wtp_n,3.6,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2001,s_treat_wtp_n,3.5,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2002,s_treat_wtp_n,17.1,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2003,s_treat_wtp_n,19.6,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2004,s_treat_wtp_n,31.1,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2005,s_treat_wtp_n,47.7,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2006,s_treat_wtp_n,86.4,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2007,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
HBS,Survey,2008,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
HBS,Survey,2009,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2010,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2011,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2012,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
GAS,Admin,2013,s_treat_wtp_n,98,AND,Treated at wastewater treatment plant,national,WW treatment
WW,Admin,2017,s_treat_wtp_n,100,AND,Treated at wastewater treatment plant,national,WW treatment
GA,Admin,2000,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2001,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2002,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2003,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2004,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2005,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2006,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2007,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2008,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2009,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2010,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2011,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2012,s_imp_u,100,AND,Improved,urban,user interface
GA,Admin,2000,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2001,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2002,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2003,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2004,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2005,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2006,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2007,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2008,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2009,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2010,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2011,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2012,s_sew_u,100,AND,Sewer,urban,user interface
GA,Admin,2000,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2001,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2002,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2003,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2004,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2005,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2006,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2007,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2008,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2009,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2010,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2011,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2012,s_lat_u,0,AND,Latrines and other improved,urban,user interface
GA,Admin,2000,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2001,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2002,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2003,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2004,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2005,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2006,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2007,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2008,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2009,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2010,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2011,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2012,s_imp_r,100,AND,Improved,rural,user interface
GA,Admin,2000,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2001,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2002,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2003,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2004,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2005,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2006,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2007,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2008,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2009,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2010,s_sew_r,100,AND,Sewer,rural,user interface
GA,Admin,2011,s_sew_r,100,AND,Sewer,rural,user interface
